sentence_id,John,studied,Yale,John_first_index,John_last_index,studied_first_index,studied_last_index,Yale_first_index,Yale_last_index,sentence_text,label
115821253,Hossain,studied,Auckland University of Technology,0,0,2,2,6,9,Hossain also studied Public Health in Auckland University of Technology in 2016 and 2017 .,1
120738187,William Vainchenker,studied,Paris VII University,0,1,2,2,9,11,William Vainchenker studied medicine from 1966 - 1971 in Paris VII University and passed his medical thesis in 1977 .,1
121069875,Kasmamytov,studied,Metropolitan University,0,0,1,1,3,4,"Kasmamytov studied in Metropolitan University in Oslo ( Norway ) , Free University in Berlin ( Germany ) , American University in Central Asia ( Kyrgyzstan ) , Pierce College ( USA ) .",1
132613030,Sulaiman,studied,Hasanuddin University,8,8,9,9,15,16,"Upon the completion of his basic studies , Sulaiman studied agricultural science in Makassar 's Hasanuddin University , starting in 1988 and obtaining his undergraduate degree in 1993 .",1
135481087,Stepan Protsiuk,studied,Vasyl Stefanyk Precarpathian National University,0,1,2,2,4,8,Stepan Protsiuk studied in Vasyl Stefanyk Precarpathian National University and obtained a PhD ( Candidate of Sciences ) degree in philology in the Institute of Literature of National Academy of Sciences of Ukraine .,1
139358484,Sushoma Sarkar,studied,Dhaka University,0,1,2,2,4,5,Sushoma Sarkar studied in Dhaka University .,1
139817057,Yu,studying,Fu Jen Catholic University,0,0,3,3,5,8,"Yu is currently studying in Fu Jen Catholic University , department of philosophy .",1
142125403,Reddy,studied,Osmania University,17,17,18,18,23,24,"Born on 4 October 1954 at Kowkuntla village in Chevella Mandal to a poor farming family , Reddy studied MA and LLB in Osmania University .",1
143917853,Duncan,studied,Stanford University,0,0,1,1,3,4,"Duncan studied in Stanford University between 1923 and 1931 , while teaching botany and entomology at San José State College from 1922 to 1950 .",1
147291819,Moore,studied,the Pontifical Xavierian University,5,5,6,6,9,12,"Before becoming a policeman , Moore studied medicine in the Pontifical Xavierian University and dropped out after a friend convinced him to join the National Police .",0
147574070,Luo,studied,Ohio State University,3,3,4,4,6,8,"After graduation , Luo studied in Ohio State University , Columbia University and Cornell University .",1
149318452,Ilyas Akhmadov,studied,the Polytechnic University of Volgograd,4,5,6,6,8,12,From 1978 to 1981 Ilyas Akhmadov studied in the Polytechnic University of Volgograd .,1
151982787,Baganov,studied,Leningrad State University,0,0,1,1,4,6,"Baganov studied astronomy in Leningrad State University then transferred to the Leningrad State Institute for Theatre , Music and Cinematography .",1
152529248,Bogdanovich,studied,the Moscow University,7,7,8,8,10,12,"Coming from a noble Ukrainian family , Bogdanovich studied in the Moscow University until 1761 .",1
153553259,Granö,studied,Helsinki University,0,0,1,1,3,4,"Granö studied in Helsinki University , starting 1900 in botany but changing his major subject to geography .",1
154946708,Fathulla Jameel,studied,Al - Azhar University,0,1,2,2,4,7,Fathulla Jameel studied in Al - Azhar University of Egypt and obtained a BA in Islamic Theology .,1
157357039,Francis,studied,Ateneo de Naga University,0,0,1,1,3,6,Francis studied in Ateneo de Naga University and graduated from the Law School of Ateneo de Manila University in 1962 .,1
160144421,Nelson,studied,Heidelberg University,3,3,4,4,9,10,"In 1901 , Nelson studied mathematics and philosophy in Heidelberg University for a short period of time , before going to the Humboldt University of Berlin from March 1901 – 1903 .",1
165246391,Udaya Rana,studied,Cornell University of USA,0,1,3,3,5,8,Udaya Rana has studied in Cornell University of USA holds master 's degree,1
167792976,William Parodi,studied,National University,0,1,2,2,7,8,William Parodi studied law in Panama 's National University and has a Master 's degree on financial crimes from Spain .,1
168327353,Slavchev,studied,Veliko Tarnovo University,0,0,1,1,4,6,Slavchev studied law in Veliko Tarnovo University .,1
170636710,Gómez Morín,studied,the National University of Mexico,0,1,2,2,12,16,"Gómez Morín studied Law during the days of the Mexican Revolution in the National University of Mexico ( UNAM ) , and there , as a student , he struggled to gain autonomy for the university of which he served as Rector in 1933 .",1
173123426,Jürgen Dueball,studied,Free University,0,1,2,2,7,8,"Jürgen Dueball studied mathematics and physics in Free University of Berlin , also interested in astronomy .",1
174045915,Daskalaki,studied,the Aristotle University of Thessaloniki,0,0,1,1,4,8,Daskalaki studied law in the Aristotle University of Thessaloniki .,1
175327341,Joon,studied,Birendra Narayan Chakraborty University,0,0,1,1,3,6,Joon studied in Birendra Narayan Chakraborty University .,1
175909972,Mohd Ateeque,Studied,Jawaharlal Nehru University,0,1,12,12,14,16,"Mohd Ateeque , who hails from Garhi Dilawar , Amethi , has Studied in Jawaharlal Nehru University , New Delhi from where he completed his Post Graduation in Spanish & Latin American Studies ; and he has rendered his services to WIPRO , Oracle , Accenture and Bank of America as Consultant , Team Leader and Advisor with over all experience of more than 8 years in Corporate industry .",1
176473543,Zeynep Sevde Paksu,studied,Yildiz Technical University,0,2,3,3,6,8,Zeynep Sevde Paksu studied physics in Yildiz Technical University .,1
185991171,Peter J. Schwendinger,studied,Innsbruck University,0,2,8,8,14,15,"Peter J. Schwendinger , other Austrian arachnologist , studied with Konrad Thaler , in Innsbruck University .",1
186613175,Li,studied,National Taiwan University,0,0,1,1,5,7,"Li studied civil engineering in National Taiwan University , and after graduation worked in Lion Pencil Corporation which was founded by his father .",1
190361020,Hadjipapa,studied,Medical University of Sofia,0,0,1,1,5,8,Hadjipapa studied Medicine degree in Medical University of Sofia and postgraduate of General Medicine at University of Surrey .,1
191554923,Zhang,studying,Beijing Sport University,3,3,6,6,8,10,"Since 2016 , Zhang has been studying in Beijing Sport University .",1
192244844,Jander,studied,Technical University of Munich,0,0,1,1,3,6,"Jander studied in Technical University of Munich , and at University of Berlin where he received his Ph . D for work with Arthur Rosenheim in 1917 .",1
